"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),전혀 문제가 되지 않는다,문제가 되지 않는다,문제가 된다,매우 문제가 된다
"전체",소계,2.9,1.6,23.7,71.8
"성별",남학생,3.8,2.3,26.8,67.1
"성별",여학생,2.0,0.8,20.3,76.8
"학령별",초등학교,4.4,1.4,18.7,75.5
"학령별",중학교,2.3,2.2,26.9,68.6
"학령별",고등학교,2.1,1.1,25.6,71.3
"학교특성별",남학교,3.4,2.5,32.4,61.8
"학교특성별",여학교,1.1,1.0,20.2,77.7
"학교특성별",남녀공학,2.1,1.5,25.9,70.4
"거주지역별",대도시,2.9,1.3,22.5,73.3
"거주지역별",중소도시,3.2,1.8,23.9,71.1
"거주지역별",읍면지역,2.2,1.4,26.7,69.7
"권역별",수도권,2.6,1.6,23.1,72.8
"권역별",충청권,3.4,2.1,23.9,70.5
"권역별",호남권,3.5,1.3,27.6,67.5
"권역별",동북권,2.5,1.6,25.2,70.7
"권역별",동남권,3.6,1.2,21.8,73.3
"인터넷 이용 시간별",1시간 미만,8.1,2.8,14.7,74.4
"인터넷 이용 시간별",1~2시간 미만,3.9,1.2,19.1,75.8
"인터넷 이용 시간별",2~3시간 미만,2.7,0.7,25.8,70.8
"인터넷 이용 시간별",3~5시간 미만,1.6,1.5,25.6,71.3
"인터넷 이용 시간별",5시간 이상,2.6,2.4,25.1,69.9
"가정형편별",상위,5.2,2.6,18.7,73.4
"가정형편별",중위,2.4,1.4,24.2,72.0
"가정형편별",하위,9.8,2.6,27.2,60.4
"학업성적별",상위권,3.6,2.1,21.0,73.3
"학업성적별",중위권,2.7,1.2,24.0,72.1
"학업성적별",하위권,3.8,3.4,27.8,65.0
"사이버폭력 예방교육별",경험 있음,2.6,1.3,22.8,73.2
"사이버폭력 예방교육별",경험 없음,5.3,3.3,30.4,61.0
