"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),전혀 문제가 되지 않는다,문제가 되지 않는다,문제가 된다,매우 문제가 된다
"전체",소계,2.9,1.2,20.5,75.4
"성별",남학생,3.7,1.9,24.0,70.4
"성별",여학생,2.1,0.4,16.7,80.8
"학령별",초등학교,4.4,1.0,17.5,77.1
"학령별",중학교,2.3,1.4,23.0,73.3
"학령별",고등학교,2.0,1.1,21.0,75.8
"학교특성별",남학교,3.2,2.4,28.9,65.5
"학교특성별",여학교,1.2,0.2,14.8,83.7
"학교특성별",남녀공학,2.1,1.2,21.7,75.0
"거주지역별",대도시,2.9,0.8,19.3,77.1
"거주지역별",중소도시,3.1,1.7,21.0,74.2
"거주지역별",읍면지역,2.1,0.8,22.4,74.7
"권역별",수도권,2.6,1.2,19.1,77.1
"권역별",충청권,3.2,2.0,22.7,72.1
"권역별",호남권,3.3,1.0,23.2,72.5
"권역별",동북권,2.4,0.9,21.5,75.2
"권역별",동남권,3.7,0.9,20.7,74.6
"인터넷 이용 시간별",1시간 미만,7.7,2.7,12.3,77.4
"인터넷 이용 시간별",1~2시간 미만,3.9,0.7,16.9,78.5
"인터넷 이용 시간별",2~3시간 미만,2.7,0.9,22.3,74.1
"인터넷 이용 시간별",3~5시간 미만,1.7,0.9,21.7,75.7
"인터넷 이용 시간별",5시간 이상,2.5,1.8,22.2,73.6
"가정형편별",상위,5.6,2.1,16.7,75.7
"가정형편별",중위,2.4,1.0,20.9,75.8
"가정형편별",하위,8.8,3.8,24.5,62.9
"학업성적별",상위권,3.5,1.5,18.1,76.9
"학업성적별",중위권,2.7,0.8,20.7,75.8
"학업성적별",하위권,3.9,3.6,25.0,67.5
"사이버폭력 예방교육별",경험 있음,2.6,1.0,19.5,76.8
"사이버폭력 예방교육별",경험 없음,5.5,2.4,28.0,64.0
