"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),전혀 그렇지 않다,그렇지 않다,그렇다,매우 그렇다
"전체",소계,56.0,15.2,19.0,9.8
"성별",남학생,58.9,14.3,17.0,9.8
"성별",여학생,52.1,16.5,21.7,9.7
"학령별",초등학교,49.5,15.4,22.5,12.5
"학령별",중학교,55.0,17.5,19.4,8.1
"학령별",고등학교,65.8,11.8,13.9,8.4
"학교특성별",남학교,64.2,14.9,14.4,6.5
"학교특성별",여학교,59.7,18.0,12.2,10.0
"학교특성별",남녀공학,58.3,14.7,18.5,8.4
"거주지역별",대도시,56.7,14.0,19.7,9.7
"거주지역별",중소도시,54.6,16.6,19.0,9.8
"거주지역별",읍면지역,60.5,12.8,16.9,9.9
"권역별",수도권,58.3,14.6,18.6,8.6
"권역별",충청권,50.7,15.7,22.6,11.0
"권역별",호남권,58.7,14.1,18.0,9.1
"권역별",동북권,54.5,16.0,17.9,11.6
"권역별",동남권,52.6,16.9,19.1,11.5
"인터넷 이용 시간별",1시간 미만,56.7,18.2,17.4,7.7
"인터넷 이용 시간별",1~2시간 미만,55.7,17.5,18.2,8.6
"인터넷 이용 시간별",2~3시간 미만,56.7,16.2,19.3,7.8
"인터넷 이용 시간별",3~5시간 미만,57.4,14.5,18.2,9.9
"인터넷 이용 시간별",5시간 이상,54.2,13.5,20.1,12.1
"가정형편별",상위,56.4,13.3,17.4,13.0
"가정형편별",중위,56.2,15.3,19.2,9.2
"가정형편별",하위,50.3,18.5,17.6,13.6
"학업성적별",상위권,57.1,14.4,16.5,12.0
"학업성적별",중위권,56.2,15.3,19.9,8.7
"학업성적별",하위권,52.0,16.5,16.9,14.6
"사이버폭력 예방교육별",경험 있음,56.2,15.2,19.0,9.7
"사이버폭력 예방교육별",경험 없음,54.7,15.7,19.2,10.3
