"특성별(1)",특성별(2),2022,2022,2022,2022
"특성별(1)",특성별(2),전혀 그렇지 않다,그렇지 않다,그렇다,매우 그렇다
"전체",소계,26.9,13.9,27.5,31.7
"성별",남학생,28.1,12.4,24.8,34.8
"성별",여학생,25.3,16.0,31.4,27.3
"학령별",초등학교,28.1,15.2,27.9,28.7
"학령별",중학교,27.3,14.2,28.9,29.6
"학령별",고등학교,24.6,11.9,25.2,38.3
"학교특성별",남학교,28.4,9.7,26.5,35.4
"학교특성별",여학교,22.8,15.4,31.1,30.7
"학교특성별",남녀공학,26.1,13.8,27.0,33.1
"거주지역별",대도시,27.8,13.1,28.9,30.2
"거주지역별",중소도시,26.5,14.8,26.5,32.2
"거주지역별",읍면지역,25.9,12.5,27.9,33.7
"권역별",수도권,26.5,12.8,26.9,33.9
"권역별",충청권,26.4,17.0,29.6,27.0
"권역별",호남권,24.6,14.9,29.3,31.1
"권역별",동북권,26.9,14.8,28.1,30.2
"권역별",동남권,29.8,13.8,26.7,29.7
"인터넷 이용 시간별",1시간 미만,38.9,7.4,26.9,26.7
"인터넷 이용 시간별",1~2시간 미만,30.2,12.9,27.7,29.2
"인터넷 이용 시간별",2~3시간 미만,28.0,15.4,28.2,28.4
"인터넷 이용 시간별",3~5시간 미만,23.8,14.0,28.8,33.4
"인터넷 이용 시간별",5시간 이상,25.8,14.0,25.6,34.6
"가정형편별",상위,32.0,17.1,22.5,28.4
"가정형편별",중위,25.9,13.6,28.4,32.1
"가정형편별",하위,36.8,11.8,21.4,30.0
"학업성적별",상위권,29.9,13.5,23.7,32.9
"학업성적별",중위권,26.2,13.8,28.9,31.0
"학업성적별",하위권,25.6,16.0,23.9,34.6
"사이버폭력 예방교육별",경험 있음,26.4,13.6,28.2,31.9
"사이버폭력 예방교육별",경험 없음,31.3,16.9,22.1,29.7
